,TickerID,Symbol,Name,Occurrence,Positive,Negative
123,913253453,BIOC,Biocept,18,11,7
124,913253721,PSTV,Plus Therapeutics Inc,13,7,6
125,925348770,AVCT,American Virtual Cloud Technologies,22,18,4
126,950134087,BORR,BORR DRILLING LTD,13,4,9
127,913255327,GE,GE,28,14,14
128,913323745,MFA,MFA Fncl,59,37,22
129,913255192,DIS,Walt Disney,106,56,50
130,913324645,IVR,Invesco Mortgage,7,2,5
131,925242609,AZUL,Azul,3,0,3
132,913255126,CPE,Callon,11,6,5
133,916040768,NTEC,Intec Pharma,27,18,9
134,913255341,GME,GameStop,3,0,3
135,913253622,IZEA,IZEA Worldwide,3,1,2
136,913254999,BAC,Bank of America,8,3,5
137,913255353,GS,Goldman Sachs,3,2,1
138,913256458,FORR,Forrester,2,2,0
139,913324369,SAN,Banco Santander,5,4,1
140,913324537,WFC,Wells Fargo,6,2,4
141,913903086,BRK.A,Berkshire Hatha,2,2,0
142,916040709,DB,Deutsche Bank,2,2,0
143,913253630,VTGN,VistaGen,1,0,1
144,925377982,LYL,Dragon Victory,2,0,2
145,950109011,JFIN,Jiayin Group,2,0,2
146,950125354,WAFU,Wah Fu Education Group Ltd,1,0,1
147,925323875,VIX,CBOE Market Volatility Index,6,5,1
148,925415088,VXX,iPath® B S&P 500® VIX S/T Futs™ ETN,10,7,3
149,913303712,ENSV,ENSERVCO,16,8,8
150,913256394,CSWC,CSWC,3,1,2
151,913255055,C,Citigroup,3,0,3
152,913323815,MS,Morgan Stanley,3,0,3
153,913323901,NEM,Newmont Corp,3,0,3
154,913433476,PAAS,Pan Amer Silver,3,0,3
155,916040647,AEM,Agnico Eagle,3,0,3
156,913254620,GRUB,GrubHub,3,1,2
157,913256535,CRIS,Curis,21,13,8
158,913254339,KOS,Kosmos Energy,6,5,1
159,913324070,OXY,Occidental,4,4,0
160,913303773,DPW,DPW HOLDINGS,15,10,5
161,913303985,LTRPB,Liberty Trip,5,2,3
162,913255330,GES,Guess,1,0,1
163,913253346,BIMI,BOQI International Medical Inc,14,9,5
164,913257299,GOOGL,Alphabet,7,1,6
165,913286916,GOF,Guggenheim Strategic Opp Fund,4,0,4
166,913303928,FB,Facebook,31,15,16
167,913324551,WMT,WalMart,6,1,5
168,925354277,IE00B1FQCP82,DWS Noor Precious Metals Secs B,4,0,4
169,925415154,DMGGF,Dmg Blockchain,4,0,4
170,950056100,PRVB,"PROVENTION BIO, INC.",4,0,4
171,950138392,PTON,Peloton Interactive Inc,2,0,2
172,913256109,SELB,Selecta,2,0,2
173,925187560,INPX,Inpixon,2,0,2
174,913353822,DJI,DOW JONES,10,5,5
175,950053134,ELOX,ELOXX PHARMACEUT,5,1,4
176,913323699,TWMC,Trans World Ent,1,1,0
177,913254553,TWTR,Twitter,4,3,1
178,913253567,AQMS,Aqua Metals,1,0,1
179,913323175,MYSZ,My Size,6,4,2
180,913253619,ROSEU,Rosehill,2,2,0
181,913254240,HHT,Color Star Technology,2,2,0
182,913323769,MLM,Martin Mari Mat,2,2,0
183,913324585,XOM,Exxon Mobil,3,0,3
184,913253343,HGSH,China HGS,3,0,3
185,913254231,BBI,Brickell Biotech Inc,15,7,8
186,913257452,NCTY,The9 Ltd,3,0,3
187,913303771,BGI,BIRKS GROUP,3,0,3
188,950084925,WKEY,WISEKEY INTERNAT,3,0,3
189,913254746,SHOP,Shopify,5,2,3
190,913256616,DXCM,DexCom,2,1,1
191,913420438,BTCUSD,Bitcoin/US Dollar,10,5,5
192,913431510,TTD,Trade Desk,1,1,0
193,925335623,SOLO,Electrameccanica Vehicles Corp,6,1,5
194,925302410,CLPPZ,Clipper Realty,7,3,4
195,913253438,VISL,Vislink Technologies Inc,23,9,14
196,913254883,UAL,United Airlines Holdings Inc,2,2,0
197,913324267,RIG,Transocea,2,2,0
198,913253365,ENT,Global Eagle Ent,2,1,1
199,913253612,NAKD,Naked Brand,10,5,5
200,913256051,XELB,Xcel Brands,1,0,1
201,913323994,NTZ,Natuzzi,1,0,1
202,925328913,IMRN,Immuron,1,0,1
203,950097047,MTC,MMTEC INC,1,0,1
204,913254359,MITT,AG Mortgage,2,2,0
205,925409377,DLPN,Dolphin,25,14,11
206,913254575,EROS,Eros,23,9,14
207,913323171,WTRH,Waitr Holdings Inc,22,8,14
208,913256200,CIDM,Cinedigm,33,13,20
209,913243044,UGAZ,VelocityShares 3x Long Natural Gas ETN,31,13,18
210,913253748,IDRA,Idera Pharma,1,1,0
211,913254243,TENX,Tenax Therapeut,1,1,0
212,913324076,MGI,MoneyGram Intl,2,1,1
213,925401759,AMRH,Ameri Holdings,2,2,0
214,913253569,CETX,Cemtrex,11,5,6
215,913253691,DGLY,Digital Ally,11,4,7
216,913255599,AMRS,Amyris,4,2,2
217,950052414,VTSI,VIRTRA,4,2,2
218,913255648,FRAN,Francesca's,3,1,2
219,913256126,OPK,OPKO Health,4,2,2
220,925347608,ARPO,Aerpio Pharms,11,7,4
221,913255501,LUV,Southwest,3,2,1
222,950148888,N/A,Quantum Computing Inc.,2,0,2
223,913255615,OXLC,Oxford Lane Capital Corp,12,9,3
224,913253557,QLGN,Ritter Pharms,1,1,0
225,913324154,ATVI,Activision,3,2,1
226,913256010,NVIV,InVivo,14,7,7
227,925415195,VXRT,VAXART,14,10,4
228,913256159,AMRN,Amarin,3,2,1
229,925334606,CODX,Co-Diagnostics,2,2,0
230,913323458,ISBC,Investors,2,1,1
231,913253544,CHEK,Check Cap,20,11,9
232,913255911,TTOO,T2 Biosystems,4,3,1
233,913244660,GUSH,Direxion Dly S&P Oil&Gs Ex&Prd Bl 2X ETF,1,1,0
234,913303964,GOOG,Alphabet,3,3,0
235,913324336,SKT,Tanger Factory,1,1,0
236,925307064,CGC,Canopy Growth,14,12,2
237,925344301,PETQ,PetIQ,1,0,1
238,925185381,FVAL,Fidelity® Value Factor ETF,2,0,2
239,913256822,FCEL,FuelCell Energy,6,2,4
240,913253596,TTNP,Titan Pharma,5,2,3
241,925284416,CLDR,Cloudera,2,1,1
242,913323829,UNFI,Utd Natural Fds,1,0,1
243,913253640,LBCC,Long Blockchain,1,0,1
244,925283811,WMMVY,Wal-Mart Mexico,1,0,1
245,925300297,BLOZF,Cannabix Tech,2,0,2
246,950141558,PHAT,"PHATHOM PHARMACEUTICALS, INC.",1,0,1
247,913255963,MOMO,Momo,2,1,1
248,913256249,BCRX,BioCryst Pharms,3,0,3
249,925297441,ALO,Alio Gold,1,0,1
250,950145441,ALUS.U,ALUSSA ENERGY ACQUISITION CORP.,1,0,1
251,925308960,BCII,Blockchain Inds,1,0,1
252,950133094,ANVS,"ANNOVIS BIO, INC.",1,0,1
253,913253450,SQBG,Sequential,2,1,1
254,913255783,PBPB,Potbelly,1,0,1
255,950121423,UBER,Uber,2,1,1
256,913254798,SQ,Square,1,0,1
257,913257500,SGMO,SANGAMO THERAPEU,4,0,4
258,913324397,T,AT&T,1,0,1
259,913255659,ENPH,Enphase Energy,3,1,2
260,913254392,FET,Forum Energy Tec,23,16,7
261,913254548,CHGG,Chegg,3,3,0
262,913256489,CATM,Cardtronics,3,3,0
263,925284419,XRF,CHINA RAPID FINA,5,5,0
264,950056124,LOVE,Lovesac Co.,5,4,1
